epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,48.8646,1.0987,2.58054,1.44598,0.00333,1,0.13174,0.05222,1.74995,4.13235,2.2064,0.00333673,0.00111224,0.00333673,0.00111224,0.00333673,0.00111224,0.00333673,0.00111224
31,50.195,1.05923,2.52656,1.41594,0.00333,1,0.13174,0.05222,1.74995,4.13235,2.2064,0.0034426,0.00114753,0.0034426,0.00114753,0.0034426,0.00114753,0.0034426,0.00114753
32,51.6067,0.93516,2.4139,1.3306,0.00333,1,0.12115,0.05099,1.71315,3.90727,2.14577,0.00354798,0.00118266,0.00354798,0.00118266,0.00354798,0.00118266,0.00354798,0.00118266
33,53.0026,0.81016,2.36573,1.28362,0.00333,1,0.13053,0.0576,1.64632,3.7611,2.13187,0.0036529,0.00121763,0.0036529,0.00121763,0.0036529,0.00121763,0.0036529,0.00121763
34,54.4005,0.93287,2.45806,1.36314,0.00333,1,0.13053,0.0576,1.64632,3.7611,2.13187,0.00375733,0.00125244,0.00375733,0.00125244,0.00375733,0.00125244,0.00375733,0.00125244
35,55.9173,0.95942,2.40485,1.37291,0.00333,1,0.16562,0.07219,1.68971,3.88278,2.14198,0.0038613,0.0012871,0.0038613,0.0012871,0.0038613,0.0012871,0.0038613,0.0012871
36,57.3715,0.98831,2.30193,1.36457,0.00333,1,0.27173,0.11989,1.67646,3.79442,2.11486,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159
37,58.6907,1.09044,2.39397,1.42317,0.00333,1,0.27173,0.11989,1.67646,3.79442,2.11486,0.00406779,0.00135593,0.00406779,0.00135593,0.00406779,0.00135593,0.00406779,0.00135593
38,60.1575,0.99741,2.31748,1.39974,0.00333,1,0.27153,0.13724,1.68231,3.75519,2.1427,0.00417033,0.00139011,0.00417033,0.00139011,0.00417033,0.00139011,0.00417033,0.00139011
39,61.6219,1.06235,2.21652,1.38787,0.00333,1,0.253,0.13385,1.58341,3.64945,2.04907,0.00427239,0.00142413,0.00427239,0.00142413,0.00427239,0.00142413,0.00427239,0.00142413
40,62.9504,0.83611,2.15838,1.26078,0.00333,1,0.253,0.13385,1.58341,3.64945,2.04907,0.00437398,0.00145799,0.00437398,0.00145799,0.00437398,0.00145799,0.00437398,0.00145799
41,64.497,0.88455,2.11227,1.31234,0.00333,1,0.26436,0.16108,1.46475,3.58933,1.99006,0.00447509,0.0014917,0.00447509,0.0014917,0.00447509,0.0014917,0.00447509,0.0014917
42,65.9614,0.9857,1.99771,1.33838,0.00333,1,0.28529,0.16547,1.58915,3.60731,2.04006,0.00457572,0.00152524,0.00457572,0.00152524,0.00457572,0.00152524,0.00457572,0.00152524
43,67.3153,1.00978,2.16075,1.37458,0.00333,1,0.28529,0.16547,1.58915,3.60731,2.04006,0.00467588,0.00155863,0.00467588,0.00155863,0.00467588,0.00155863,0.00467588,0.00155863
44,68.7495,1.0426,2.1757,1.38158,0.03791,0.8,0.28704,0.16822,1.66908,3.48939,2.09157,0.00477557,0.00159186,0.00477557,0.00159186,0.00477557,0.00159186,0.00477557,0.00159186
45,70.0888,0.89221,1.80111,1.22709,0.03791,0.8,0.28704,0.16822,1.66908,3.48939,2.09157,0.00487478,0.00162493,0.00487478,0.00162493,0.00487478,0.00162493,0.00487478,0.00162493
46,71.5302,0.68048,1.88421,1.17879,0.40593,0.2,0.31873,0.1968,1.6385,3.44345,2.05404,0.00497351,0.00165784,0.00497351,0.00165784,0.00497351,0.00165784,0.00497351,0.00165784
47,72.8805,0.80812,1.78624,1.23353,0.40593,0.2,0.31873,0.1968,1.6385,3.44345,2.05404,0.00507177,0.00169059,0.00507177,0.00169059,0.00507177,0.00169059,0.00507177,0.00169059
48,74.372,0.88407,1.74227,1.28245,0.5695,0.2,0.3294,0.20937,1.5847,3.31624,2.02493,0.00516956,0.00172319,0.00516956,0.00172319,0.00516956,0.00172319,0.00516956,0.00172319
49,75.7082,0.91163,1.77143,1.2809,0.5695,0.2,0.3294,0.20937,1.5847,3.31624,2.02493,0.00526687,0.00175562,0.00526687,0.00175562,0.00526687,0.00175562,0.00526687,0.00175562
50,77.1056,0.86733,1.96102,1.23637,0.48199,0.2,0.39966,0.25636,1.50829,3.39494,1.97426,0.0053637,0.0017879,0.0053637,0.0017879,0.0053637,0.0017879,0.0053637,0.0017879
51,78.4563,0.77689,1.68831,1.22602,0.48199,0.2,0.39966,0.25636,1.50829,3.39494,1.97426,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
